REQUIREMENT_ID,NORMALIZED_RULE,IMPLEMENTATION_LOCATION,ORACLE_RULE,DESIGN_TESTS,HELD_OUT_TESTS where known after unseal,MUTANTS,RESULT,AMBIGUITY_OR_CONFLICT_REFERENCE
R13,The protocol SHALL deliver received DATA only when state is OPEN.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#M12_data_before_open,held_out_traces/ (25-trace frozen corpus),M12,COVERED; 3/3 candidates conform,"NONE,NONE"
R14,"In OPEN, inbound DATA at rx_expected_seq SHALL be delivered once and advance rx_expected_seq by 1.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#duplicate_inbound_data,held_out_traces/ (25-trace frozen corpus),"M02,M11",COVERED; 3/3 candidates conform,"NONE,NONE"
R15,"In OPEN, inbound DATA at rx_last_delivered SHALL be acknowledged and SHALL NOT be delivered again.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#duplicate_inbound_data;old_duplicate_data,held_out_traces/ (25-trace frozen corpus),"M02,M11",COVERED; 3/3 candidates conform,"A2,NONE"
R16,"In OPEN, inbound DATA with seq greater than rx_expected_seq SHALL be rejected and SHALL NOT advance rx_expected_seq.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#future_inbound_data;old_duplicate_data,held_out_traces/ (25-trace frozen corpus),"M03,M11",COVERED; 3/3 candidates conform,"A2,NONE"
R17,Inbound DATA whose session identifier differs from session_id SHALL return invalid and not mutate protocol state.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#wrong_session_open_ack,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,NONE"
R18,The protocol SHALL initiate local close only on CLOSE_REQ in OPEN.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#premature_close,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"C2,C2_NO_ISSUE"
R19,The protocol SHALL accept local CLOSE_REQ only when tx_outstanding is absent.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#premature_close,held_out_traces/ (25-trace frozen corpus),M04,COVERED; 3/3 candidates conform,"C2,C2_NO_ISSUE"
R20,A valid CLOSE_REQ SHALL set state to CLOSE_SENT and start close_timer.,candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#close_retry_then_ack,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,NONE"
R21,"On CLOSE_ACK matching session_id in CLOSE_SENT, the protocol SHALL set state to CLOSED.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#happy_open_data_close,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,NONE"
R22,"On ABORT in OPEN_SENT, OPEN, or CLOSE_SENT, the protocol SHALL immediately set state to ABORTED.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#abort_each_active,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,NONE"
R23,"In ABORTED, the protocol SHALL reject all events except RESET.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#abort_each_active,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,C1_NO_ISSUE"
R24,"On RESET in ABORTED, the protocol SHALL set state to IDLE and clear all session state.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#reset_behavior;new_session_after_reset,held_out_traces/ (25-trace frozen corpus),M08,COVERED; 3/3 candidates conform,"NONE,C1_NO_ISSUE"
R25,"On RESET in CLOSED, the protocol SHALL set state to IDLE.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#new_session_after_reset,held_out_traces/ (25-trace frozen corpus),M08,COVERED; 3/3 candidates conform,"NONE,NONE"
R26,"On RESET in a state other than ABORTED or CLOSED, the protocol SHALL return invalid and not mutate state.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#reset_behavior,held_out_traces/ (25-trace frozen corpus),M07,COVERED; 3/3 candidates conform,"NONE,C1_NO_ISSUE"
R27,"On an open_timer timeout before the abort threshold, the protocol SHALL retransmit OPEN_REQ.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#open_retry_then_ack,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"A1,NONE"
R28,"On the third consecutive open_timer timeout without a matching OPEN_ACK, the protocol SHALL set state to ABORTED.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#open_timeout_abort_third,held_out_traces/ (25-trace frozen corpus),M06,COVERED; 3/3 candidates conform,"A1,NONE"
R29,"On a data_timer timeout for tx_outstanding before the abort threshold, the protocol SHALL retransmit tx_outstanding.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#data_retry_then_ack,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"A1,NONE"
R30,"On the third consecutive data_timer timeout without a matching DATA_ACK, the protocol SHALL set state to ABORTED.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#data_timeout_abort_third,held_out_traces/ (25-trace frozen corpus),M06,COVERED; 3/3 candidates conform,"A1,NONE"
R31,"On a close_timer timeout before the abort threshold, the protocol SHALL retransmit CLOSE_REQ.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#close_retry_then_ack,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"A1,NONE"
R32,"On the third consecutive close_timer timeout without a matching CLOSE_ACK, the protocol SHALL set state to ABORTED.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#close_retry_then_ack,held_out_traces/ (25-trace frozen corpus),M06,COVERED; 3/3 candidates conform,"A1,NONE"
R33,"A successful matching OPEN_ACK, DATA_ACK, or CLOSE_ACK SHALL reset its corresponding retry counter to 0.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#open_retry_then_ack;data_retry_then_ack;close_retry_then_ack,held_out_traces/ (25-trace frozen corpus),M05,COVERED; 3/3 candidates conform,"NONE,NONE"
R34,"For an event invalid in the current state, the protocol SHALL return an explicit invalid result and SHALL NOT mutate protocol state.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#future_data_ack;premature_close,held_out_traces/ (25-trace frozen corpus),N/A (covered by conformance corpus),COVERED; 3/3 candidates conform,"NONE,C1_NO_ISSUE"
R35,"In CLOSED, a duplicate CLOSE_ACK for session_id SHALL be ignored without reopening or aborting.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#duplicate_close_ack,held_out_traces/ (25-trace frozen corpus),M09,COVERED; 3/3 candidates conform,"NONE,NONE"
R36,"After a valid RESET and a subsequent new session, the protocol SHALL not retain prior-session state that affects the new session.",candidate_a/protocol.py; candidate_b/protocol.py; candidate_c/protocol.py,oracle/reference.py:step,design_traces/traces.json#new_session_after_reset,held_out_traces/ (25-trace frozen corpus),M08,COVERED; 3/3 candidates conform,"NONE,NONE"
